endereco;descricao;area_m2;quartos;banheiros;vagas_garagem;valor_imovel;valor_condominio;valor_iptu;link;bairro;cidade
Rua Jacob Carlos Hoffman;CASA À VENDA 02 DORMS COM SUÍTE NO BAIRRO JARDIM VIEL EM SUMARÉ. Ótima casa com piso porcelanato, sala de TV ampla, cozinha americana ampla, área de serviço externa, 03 banheiros (sendo 01 banheiro social e 01 lavabo no térreo), 02 dormitórios (sendo 01 suíte). Possui 05 vagas de garagem (02 vagas cobertas). Localização em bairro tranquilo, próximo a escolas, supermercados e centros de saúde, fácil acesso a Rodovia Anhanguera. Excelente oportunidade! Avaliamos carro como entrada. Agende sua visita e conheça esse lindo imóvel. Nós cuidaremos de toda parte do financiamento, para você não precisar se preocupar, pois, trabalhamos com todos os principais bancos (Caixa, Banco do Brasil, Itaú, Bradesco e Santander).;142;2;3;5;424900;0;80;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-monte-santo-sumare-sp-142m2-id-2645405850/;Jardim Viel; Sumaré
Rua das Palmeiras;Apartamento com 2 quartos Sala Cozinha Banheiro Área de serviço 2° andar Não tem garagem  Fica na Rua das Palmeiras Perto do Balão da Avenida São Francisco e Avenida Buritis. Na Ponte Alta Norte Gama Df Na área amarela passível de Regularização, dentro do Pdot.  Acesso todo no asfalto Próximo aos Comércios e parada de ônibus  R$125.000 Aceita carro Aceito lote na Ponte Alta  Aceita proposta;56;2;1;0;125000;30;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-ponte-alta-norte-brasilia-df-56m2-id-2617572999/;Ponte Alta Norte; Brasília
Estrada Geraldo Costa Camargo;Apartamento à venda - 02 dormitórios - 01 suíte - Loteamento Adventista Campineiro - Hortolândia Apartamento no Condomínio Portal Quinta das Oliveiras em Hortolândia, excelente localização!! Apartamento com sala de TV integrada com a sala de jantar, cozinha (ampla e com armários planejados), área de serviço, 01 banheiro social e 02 dormitórios (amplos e 01 deles sendo suíte). Possui 01 vaga de garagem. No condomínio possui Piscina adulto e infantil, Quadra esportiva, Churrasqueira, Salão de festas, Solário, Espaço para sol e descanso, Espaço para crianças. Excelente condomínio fechado, ótima localização, próximo ao centro de Hortolândia com acesso para o centro. próximo a shopping center, hipermercados, colégio IASP, prefeitura, hospital, etc. Agende sua visita e conheça esse lindo imóvel. Utilize seu FGTS como entrada! Nós cuidaremos de toda parte do financiamento para você não precisar se preocupar, pois trabalhamos com todos os principais bancos (Caixa, Banco do Brasil, Itaú, Bradesco e Santander).;53;2;2;1;282900;270;28;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-loteamento-adventista-campineiro-hortolandia-sp-53m2-id-2645408212/;Loteamento Adventista Campineiro; Hortolândia
Estrada Geraldo Costa Camargo;Apartamento à venda - 02 dormitórios - 01 suíte - Loteamento Adventista Campineiro - Hortolândia Apartamento no Condomínio Portal Quinta das Oliveiras em Hortolândia, excelente localização!! Apartamento com sala de TV integrada com a sala de jantar, cozinha (ampla e com armários planejados), área de serviço, 01 banheiro social e 02 dormitórios (amplos e 01 deles sendo suíte). Possui 01 vaga de garagem. No condomínio possui Piscina adulto e infantil, Quadra esportiva, Churrasqueira, Salão de festas, Solário, Espaço para sol e descanso, Espaço para crianças. Excelente condomínio fechado, ótima localização, próximo ao centro de Hortolândia com acesso para o centro. próximo a shopping center, hipermercados, colégio IASP, prefeitura, hospital, etc. Agende sua visita e conheça esse lindo imóvel. Utilize seu FGTS como entrada! Nós cuidaremos de toda parte do financiamento para você não precisar se preocupar, pois trabalhamos com todos os principais bancos (Caixa, Banco do Brasil, Itaú, Bradesco e Santander).;53;2;2;1;282900;270;28;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-loteamento-adventista-campineiro-hortolandia-sp-53m2-id-2645408897/;Loteamento Adventista Campineiro; Hortolândia
Rua Jardim dos Eucaliptos;Excelente casa à venda no Campeche com 3 suítes.  Casa em construção, com entrega em agosto de 2023, com sala de jantar, sala de estar, e copa cozinha integradas no térreo, um lavabo, lavanderia, pátio com espera para piscina, e vaga para dois carros. Toda casa com piso em porcelanato. No segundo pavimento, são três excelentes e amplas suítes ensolaradas, com persianas em alumínio anodizado preto e automatizadas.  Imóveis ilustrativos, aceita financiamento. Casa 01 e 02 disponíveis. Previsão de entrega Outubro 2023;164;3;4;2;1850000;0;514;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-campeche-florianopolis-sc-164m2-id-2636565564/;Campeche; Florianópolis
Rua Estado de Israel;Características da localização: - bairro com hospitais, farmácias, mercados, bares etc. - próximo do Hospital São Paulo - próximo do Parque Ibirapuera - próximo da Unifesp  Características da Unidade: - 43m² - 1 suíte - 1 lavabo - 1 vaga - lavabo - varanda envidraçada  Características do Condomínio: - Bicicletário - Churrasqueira - Fitness - Lavanderia - Piscina - Salão de Festas - Mirante -;43;1;2;1;805000;400;205;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-vila-clementino-zona-sul-sao-paulo-sp-43m2-id-2634541705/;Vila Clementino; São Paulo
Rua James Dean;Sobrado com muita iluminação e ventilação natural com: 03 dormitórios (sendo 01 suíte), ampla sala com grandes janelas para 02 ambientes, cozinha com armários, dormitório que pode ser revertido em copa, lavabo, despensa, home Office no andar superior que pode ser revertido em dormitório adicional, banheiro social com banheira, área de serviços coberta, edícula com quarto e banheiro, área externa que pode ser utilizado para cultivo de horta ou jardim, corredor lateral, 02 vagas com portão automatizado. Localizado no Jardim Itacolomi em rua tranquila próxima a Avenida Cupecê com fácil acesso ao transporte público e principais vias da cidade. O bairro tem a sua disposição infraestrutura completa e abundante de comércio, serviços e lazer (bancos, escolas, supermercados, farmácias, Parque do Nabuco e 15 minutos de carro do Shopping Interlagos, Shopping Plaza Sul e Shopping Praça da Moça). VALORES E DISPONIBILIDADES SUJEITOS A CONFIRMAÇÃO -;202;3;3;2;750000;0;130;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-jardim-itacolomi-zona-sul-sao-paulo-sp-202m2-id-2547775587/;Jardim Itacolomi; São Paulo
Estrada da Vitória;PLANTÃO DE VENDAS EXCLUSIVAS WHATSAPP OU LIGUE (9.8) 9.8.2.5.2-8.2.5.8  CRECI 5496  CHRISTIAN TONELLI  PRONTO PARA MORAR   O ECO JORDÃO é um empreendimento da construtora JEOVÁ BARBOSA localizado no JOÃO PAULO/FILIPINHO, bem próximo ao Mix Mateus.  No coração do Filipinho, na região central de São Luís com acessos múltiplos e perto de colégios, feiras, supermercados, farmácias, clinicas médicas, bancos, cartórios, faculdades, shopping, bares, restaurantes e hospitais  Os apartamentos possuem 56 m², com 2 quartos sendo uma suíte, sala com 2 ambientes, VARANDA GOURMET, banheiro social, cozinha americana com gás canalizado e área de serviço. Interfones nas unidades. 1 Vaga de garagem.  As torres contam com 5 andares, todas com elevador.  A área de lazer conta com piscina adulto e infantil estilo raia com hidromassagem, iluminação cenográfica e cascata, bar molhado, solário, salão de festa duplex climatizado com ar condicionado e cozinha com planejados, quadra poliesportiva, academia entregue equipada e playground.  O condomínio terá guarita de segurança e será entregue com sistema de CFTV (câmeras de segurança), sensores de alarme e cerca elétrica.  PLANTÃO DE VENDAS EXCLUSIVAS WHATSAPP OU LIGUE (9.8) 9.8.2.5.2-8.2.5.8  CRECI 5496  CHRISTIAN TONELLI;56;2;2;1;283000;1;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-joao-paulo-sao-luis-ma-56m2-id-2644956074/;João Paulo; São Luís
Avenida Doihara;Vendo casa em condomínio com 03 quartos sendo um suíte e um semi-suíte, sala de estar/jantar, cozinha, área de serviço, banheiro social, área externa do seu terreno amplo com possibilidade de ampliação da sua área gourmet, áreas de lazer dentro do condomínio, área verde, piscina, segurança 24h e muito mais.  Localizado no bairro Mercês ao lado do Cidade Verde I.  Valor de entrada a partir de 500 reais, a depender da sua aprovação. Interessados chamar no número: 9.8.1.3.3.5.5.3.4. Polyanna Abrantes;65;3;2;1;212034;1;1;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-pindai-paco-do-lumiar-ma-65m2-id-2644989466/;Vila Parque Horizonte; Paço do Lumiar
Estrada da Vitória;CONTATO WHATSAPP (9.8.)9.8.8.7.1.3.4.4.7. LEANDRO MIRANDA  Pensou em morar com conforto, segurança e exclusividade próximo ao Felipinho pronto para morar? Estou com essa excelente oportunidade, condomínio Eco Jordão.  ✅ 2 quartos ✅ Suíte master ✅ 1 banheiro social ✅ Cozinha americana ✅ Área de serviço ✅ Varanda Gourmet ✅ Planta de 56m2  🔥CONDIÇÕES INACREDITÁVEL🔥  ITBI E CARTÓRIO GRÁTIS PARCELAMENTO EM ATÉ 24X RENDA A PARTIR DE 7 MIL ( PODE JUNTAR RENDA COM QUALQUER PESSOA ) VALOR DE TABELA 274 MIL UNIDADE PROMOCIONAIS A PARTIR DE 254 MIL  FALE COMIGO AGORA (9.8.)9.8.8.7.1.3.4.4.7. LEANDRO MIRANDA;56;2;2;1;254010;1;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-joao-paulo-sao-luis-ma-56m2-id-2644812013/;João Paulo; São Luís
