UF,Sexo,Idade,Cor,Anos de Estudo,Renda
Rondônia,Feminino,34,Preta,16,900
Rondônia,Masculino,65,Branca,7,6000
Rondônia,Feminino,23,Branca,15,1600
Rondônia,Masculino,52,Branca,12,1300
Rondônia,Feminino,32,Parda,12,1400
Rondônia,Feminino,36,Parda,12,1400
Rondônia,Masculino,28,Branca,16,3500
Rondônia,Masculino,48,Branca,12,2500
Rondônia,Masculino,36,Parda,12,1700
Rondônia,Masculino,48,Branca,9,4500
Rondônia,Feminino,42,Branca,12,1700
Rondônia,Feminino,46,Branca,12,4124
Rondônia,Feminino,51,Parda,12,1500
Rondônia,Masculino,26,Parda,12,1200
Rondônia,Masculino,25,Parda,13,1000
Rondônia,Masculino,27,Parda,12,1200
Rondônia,Masculino,28,Parda,12,1600
Rondônia,Feminino,37,Parda,11,950
Rondônia,Masculino,26,Parda,11,1500
Rondônia,Masculino,27,Parda,11,1500
Rondônia,Masculino,41,Parda,16,4000
Rondônia,Masculino,49,Branca,6,900
Rondônia,Masculino,32,Parda,16,6000
Rondônia,Masculino,41,Preta,1,3000
Rondônia,Masculino,30,Branca,16,6000
Rondônia,Masculino,79,Branca,12,0
Rondônia,Masculino,52,Parda,15,2200
Rondônia,Masculino,36,Branca,12,2000
Rondônia,Masculino,35,Parda,16,4000
Rondônia,Masculino,50,Parda,1,1000
Rondônia,Masculino,53,Parda,1,1400
Rondônia,Feminino,32,Parda,5,788
Rondônia,Feminino,36,Branca,9,788
Rondônia,Masculino,52,Preta,9,1700
Rondônia,Masculino,55,Parda,1,1000
Rondônia,Masculino,42,Branca,16,3000
Rondônia,Masculino,35,Parda,5,1500
Rondônia,Masculino,71,Branca,6,1100
Rondônia,Masculino,31,Preta,1,1000
Rondônia,Feminino,43,Parda,12,1100
Rondônia,Masculino,51,Parda,9,1200
Rondônia,Masculino,37,Parda,9,2580
Rondônia,Masculino,38,Parda,17,1900
Rondônia,Feminino,35,Parda,16,2150
Rondônia,Masculino,26,Branca,12,1800
Rondônia,Feminino,50,Parda,6,300
Rondônia,Masculino,59,Parda,5,1300
Rondônia,Masculino,25,Parda,12,788
Rondônia,Feminino,42,Branca,16,2800
Rondônia,Masculino,41,Parda,5,1440
Rondônia,Masculino,38,Parda,5,850
Rondônia,Feminino,36,Branca,16,9000
Rondônia,Masculino,32,Parda,15,7800
Rondônia,Masculino,45,Parda,5,1200
Rondônia,Feminino,26,Branca,11,1500
Rondônia,Feminino,28,Branca,12,3000
Rondônia,Masculino,29,Parda,6,400
Rondônia,Feminino,30,Parda,7,550
Rondônia,Feminino,36,Parda,12,1200
Rondônia,Masculino,25,Parda,12,1500
Rondônia,Masculino,26,Parda,6,1100
Rondônia,Feminino,44,Parda,6,900
Rondônia,Feminino,19,Branca,12,2300
Rondônia,Masculino,34,Amarela,16,8000
Rondônia,Masculino,36,Parda,13,1400
Rondônia,Feminino,36,Parda,16,5000
Rondônia,Masculino,39,Branca,3,2500
Rondônia,Masculino,32,Parda,12,1490
Rondônia,Masculino,57,Parda,3,2300
Rondônia,Feminino,28,Branca,5,430
Rondônia,Masculino,28,Branca,9,400
Rondônia,Feminino,36,Parda,12,300
Rondônia,Masculino,46,Parda,10,160
Rondônia,Masculino,49,Branca,16,900
Rondônia,Masculino,39,Parda,4,688
Rondônia,Masculino,49,Branca,9,400
Rondônia,Masculino,55,Branca,3,1000
Rondônia,Masculino,60,Parda,9,0
Rondônia,Masculino,55,Parda,9,8000
Rondônia,Feminino,22,Branca,16,805
Rondônia,Masculino,42,Parda,12,6000
Rondônia,Masculino,35,Branca,16,2000
Rondônia,Masculino,38,Parda,12,850
Rondônia,Masculino,29,Branca,16,5200
Rondônia,Masculino,66,Preta,2,789
Rondônia,Masculino,48,Branca,1,2000
Rondônia,Masculino,34,Parda,16,5000
Rondônia,Feminino,49,Parda,12,400
Rondônia,Masculino,49,Branca,9,1800
Rondônia,Masculino,62,Branca,12,4000
Rondônia,Masculino,28,Preta,12,1000
Rondônia,Feminino,32,Parda,6,200
Rondônia,Masculino,41,Branca,1,250
Rondônia,Masculino,52,Parda,3,800
Rondônia,Masculino,43,Parda,12,1600
Rondônia,Masculino,39,Branca,8,800
Rondônia,Masculino,37,Parda,6,1600
Rondônia,Masculino,67,Parda,1,1000
Rondônia,Masculino,54,Branca,5,2500
Rondônia,Masculino,77,Parda,1,250
Rondônia,Masculino,64,Parda,4,1000
Rondônia,Masculino,58,Branca,1,10000
Rondônia,Masculino,57,Parda,3,1200
Rondônia,Masculino,43,Parda,13,1200
Rondônia,Masculino,64,Parda,5,3000
Rondônia,Masculino,52,Branca,7,1200
Rondônia,Masculino,52,Parda,1,2500
Rondônia,Feminino,26,Parda,15,1000
Rondônia,Masculino,41,Branca,12,2700
Rondônia,Masculino,24,Parda,16,1300
Rondônia,Feminino,31,Parda,6,500
Rondônia,Feminino,29,Branca,14,1000
Rondônia,Masculino,41,Parda,5,1500
Rondônia,Masculino,44,Parda,6,1900
Rondônia,Feminino,38,Branca,7,1300
Rondônia,Feminino,62,Parda,10,300
Rondônia,Masculino,59,Branca,1,788
Rondônia,Feminino,60,Branca,3,788
Rondônia,Masculino,48,Branca,5,2500
Rondônia,Masculino,56,Branca,2,788
Rondônia,Feminino,32,Branca,9,1020
Rondônia,Feminino,43,Parda,1,600
Rondônia,Feminino,26,Parda,12,1920
Rondônia,Masculino,57,Preta,5,1500
Rondônia,Masculino,39,Parda,1,788
Rondônia,Masculino,45,Branca,12,1000
Rondônia,Masculino,51,Parda,2,2500
Rondônia,Masculino,34,Branca,12,789
Rondônia,Feminino,40,Preta,7,830
Rondônia,Feminino,36,Branca,12,1000
Rondônia,Masculino,55,Parda,7,1800
Rondônia,Masculino,49,Branca,8,2300
Rondônia,Masculino,39,Parda,12,800
Rondônia,Feminino,39,Parda,6,788
Rondônia,Feminino,38,Preta,16,1200
Rondônia,Feminino,17,Branca,11,230
Rondônia,Masculino,51,Branca,16,2364
Rondônia,Feminino,56,Branca,7,500
Rondônia,Feminino,45,Parda,1,1800
Rondônia,Masculino,57,Branca,3,3650
Rondônia,Masculino,69,Branca,1,850
Rondônia,Feminino,38,Parda,5,0
Rondônia,Masculino,31,Branca,9,2000
Rondônia,Masculino,54,Parda,1,1500
Rondônia,Masculino,41,Branca,5,700
Rondônia,Masculino,43,Branca,4,750
Rondônia,Masculino,40,Branca,5,800
Rondônia,Masculino,39,Parda,1,1200
Rondônia,Masculino,42,Branca,4,1400
Rondônia,Masculino,58,Parda,1,750
Rondônia,Feminino,23,Parda,9,300
Rondônia,Feminino,43,Parda,10,788
Rondônia,Masculino,38,Parda,6,400
Rondônia,Masculino,38,Branca,16,400
Rondônia,Feminino,38,Preta,6,788
Rondônia,Masculino,37,Parda,1,788
Rondônia,Feminino,59,Parda,4,1500
Rondônia,Masculino,50,Parda,7,1500
Rondônia,Masculino,31,Branca,16,3000
Rondônia,Masculino,44,Parda,12,1400
Rondônia,Masculino,27,Parda,12,1000
Rondônia,Feminino,36,Parda,12,800
Rondônia,Masculino,37,Parda,7,800
Rondônia,Masculino,49,Parda,12,700
Rondônia,Masculino,55,Parda,8,900
Rondônia,Masculino,37,Preta,9,788
Rondônia,Feminino,52,Parda,12,788
Rondônia,Feminino,38,Parda,1,400
Rondônia,Feminino,66,Parda,16,2000
Rondônia,Masculino,63,Branca,12,3000
Rondônia,Feminino,31,Parda,15,300
Rondônia,Feminino,49,Parda,12,1300
Rondônia,Masculino,46,Branca,6,1200
Rondônia,Masculino,45,Parda,8,1500
Rondônia,Feminino,33,Preta,10,200
Rondônia,Masculino,58,Preta,8,1600
Rondônia,Masculino,54,Parda,3,1200
Rondônia,Masculino,72,Parda,1,1500
Rondônia,Masculino,70,Parda,1,400
Rondônia,Masculino,50,Parda,6,350
Rondônia,Masculino,64,Branca,5,2400
Rondônia,Masculino,61,Parda,5,0
Rondônia,Masculino,53,Parda,1,788
Rondônia,Masculino,38,Parda,6,800
Rondônia,Masculino,72,Parda,1,0
Rondônia,Masculino,22,Branca,8,1100
Rondônia,Masculino,50,Branca,13,2500
Rondônia,Masculino,49,Parda,2,0
Rondônia,Masculino,41,Branca,16,2000
Rondônia,Masculino,31,Branca,14,3000
Rondônia,Masculino,44,Branca,16,5000
Rondônia,Masculino,41,Branca,16,3500
Rondônia,Masculino,42,Parda,9,3500
Rondônia,Masculino,18,Parda,10,800
Rondônia,Masculino,41,Preta,5,800
Rondônia,Feminino,23,Parda,14,850
Rondônia,Masculino,37,Parda,9,850
Rondônia,Feminino,47,Branca,17,788
Rondônia,Masculino,19,Parda,9,1500
Rondônia,Masculino,35,Parda,9,1000
Rondônia,Masculino,33,Parda,12,1200
Rondônia,Feminino,34,Parda,10,800
Rondônia,Masculino,36,Parda,6,2000
Rondônia,Feminino,38,Branca,8,1000
Rondônia,Feminino,33,Parda,16,2000
Rondônia,Masculino,58,Parda,1,800
Rondônia,Feminino,46,Parda,9,788
Rondônia,Masculino,56,Parda,4,1300
Rondônia,Masculino,34,Parda,12,2500
Rondônia,Masculino,28,Parda,6,1000
Rondônia,Masculino,27,Parda,12,3500
Rondônia,Masculino,28,Parda,4,800
Rondônia,Masculino,22,Branca,9,788
Rondônia,Masculino,44,Preta,9,1500
Rondônia,Masculino,32,Parda,9,1600
Rondônia,Masculino,36,Parda,8,1700
Rondônia,Masculino,39,Parda,7,2000
Rondônia,Masculino,45,Parda,16,1000
Rondônia,Feminino,39,Preta,9,100
Rondônia,Feminino,21,Branca,9,788
Rondônia,Masculino,26,Parda,12,1400
Rondônia,Masculino,44,Parda,16,1200
Rondônia,Masculino,40,Parda,5,1500
Rondônia,Masculino,57,Branca,5,1300
Rondônia,Masculino,40,Preta,8,600
Rondônia,Masculino,41,Parda,6,900
Rondônia,Masculino,44,Branca,4,1200
Rondônia,Masculino,40,Parda,5,2000
Rondônia,Masculino,44,Parda,12,900
Rondônia,Masculino,51,Parda,1,2000
Rondônia,Masculino,35,Parda,4,900
Rondônia,Masculino,22,Parda,1,788
Rondônia,Masculino,44,Parda,4,900
Rondônia,Masculino,31,Parda,9,1500
Rondônia,Masculino,22,Parda,12,788
Rondônia,Masculino,61,Branca,16,10000
Rondônia,Feminino,26,Parda,10,788
Rondônia,Masculino,56,Parda,12,2800
Rondônia,Masculino,53,Parda,9,788
Rondônia,Masculino,37,Parda,1,788
Rondônia,Masculino,24,Branca,11,2000
Rondônia,Feminino,34,Branca,12,789
Rondônia,Masculino,25,Parda,14,1500
Rondônia,Feminino,40,Branca,14,2800
Rondônia,Masculino,63,Parda,9,3000
Rondônia,Masculino,36,Parda,12,1200
Rondônia,Feminino,32,Parda,13,2000
Rondônia,Masculino,50,Branca,9,1000
Rondônia,Masculino,47,Parda,7,2500
Rondônia,Feminino,45,Parda,16,1150
Rondônia,Masculino,36,Branca,5,2000
Rondônia,Masculino,46,Branca,9,5000
Rondônia,Masculino,47,Branca,12,3000
Rondônia,Masculino,56,Branca,16,8000
Rondônia,Masculino,46,Parda,6,1200
Rondônia,Masculino,47,Parda,12,2500
Rondônia,Masculino,52,Parda,9,10000
Rondônia,Feminino,23,Parda,7,788
Rondônia,Masculino,38,Preta,12,2400
Rondônia,Masculino,52,Branca,9,3000
Rondônia,Masculino,29,Parda,16,1900
Rondônia,Masculino,40,Parda,16,7500
Rondônia,Masculino,58,Parda,12,3310
Rondônia,Masculino,28,Parda,5,900
Rondônia,Masculino,52,Parda,1,800
Rondônia,Masculino,38,Parda,6,3500
Rondônia,Masculino,22,Parda,12,1000
Rondônia,Masculino,49,Branca,5,8500
Rondônia,Feminino,59,Parda,5,250
Rondônia,Masculino,42,Branca,2,950
Rondônia,Masculino,40,Parda,4,1300
Rondônia,Masculino,20,Parda,9,1500
Rondônia,Feminino,58,Parda,16,2000
Rondônia,Masculino,51,Parda,12,7000
Rondônia,Masculino,62,Parda,12,6000
Rondônia,Masculino,36,Branca,12,3400
Rondônia,Feminino,46,Branca,12,788
Rondônia,Masculino,54,Parda,12,1200
Rondônia,Feminino,51,Parda,12,780
